paper_id,is_reference,ref_category,venue_label
P001,False,, 
P002,False,,
P003,False,,
P004,False,,    
P005,False,,
P006,False,,
P007,False,,
P008,False,,
P009,False,,
P010,False,,
P011,False,,
P012,False,,
P013,False,,
P014,False,,
P015,False,,
P016,False,,
P017,False,,
P018,False,,
P019,False,,
P020,False,,
P021,False,,
P022,False,,
P023,False,,
P024,False,,
P025,False,,
P026,False,,
P027,False,,
P028,False,,
P029,False,,
P030,False,,
P031,False,,
P032,False,,
P033,False,,
P034,False,,
P035,False,,
P036,False,,
P037,False,,
P038,False,,
P039,False,,
P040,False,,
P041,False,,
P042,False,,
P043,False,,
P044,False,,
P045,False,,
P046,False,,
P047,False,,
P048,False,,
P049,False,,
P050,False,,
P051,False,,
P052,False,,
P053,False,,
P054,False,,
P055,False,,
P056,False,,
P057,False,,
P058,False,,
P059,False,,
P060,False,,
P061,False,,
P062,False,,
P063,False,,
P064,False,,
P065,False,,
P066,False,,
P067,False,,
P068,False,,
P069,False,,
P070,False,,
P071,False,,
P072,False,,
P073,False,,
P074,False,,
P075,False,,
P076,False,,
P077,False,,
P078,False,,
P079,False,,
P080,False,,
P081,False,,
P082,False,,
P083,False,,
P084,False,,
P085,False,,
P086,False,,
P087,False,,
P088,False,,
P089,False,,
P090,False,,
P091,False,,
P092,False,,
P093,False,,
P094,False,,
P095,False,,
P096,False,,
P097,False,,
P098,False,,
P099,False,,
P100,False,,
P101,False,,
P102,False,,
P103,False,,
P104,False,,
P105,False,,
P106,False,,
P107,False,,
P108,False,,
P109,False,,
P110,False,,
P111,False,,
P112,False,,
P113,False,,
P114,False,,
P115,False,,
P116,False,,
P117,False,,
P118,False,,
P119,False,,
P120,False,,
P121,False,,
P122,False,,
P123,False,,
P124,False,,
P125,False,,
P126,False,,
P127,False,,
P128,False,,
P129,False,,
P130,False,,
P131,False,,
P132,False,,
P133,False,,
P134,False,,
P135,False,,
R001,True,non-publishable,
R002,True,non-publishable,
R003,True,non-publishable,
R004,True,non-publishable,
R005,True,non-publishable,
R006,True,publishable,CVPR
R007,True,publishable,CVPR
R008,True,publishable,EMNLP
R009,True,publishable,EMNLP
R010,True,publishable,KDD
R011,True,publishable,KDD
R012,True,publishable,NeurIPS
R013,True,publishable,NeurIPS
R014,True,publishable,TMLR
R015,True,publishable,TMLR
